OP_UNIQUE_CARRIER,ORIGIN,DEST,CANCELLED,DISTANCE_GROUP
9E,ATL,PHF,0.00,3
9E,ATL,PHF,0.00,3
9E,ATL,PHF,0.00,3
9E,ATL,PHF,0.00,3
9E,ATL,PHF,0.00,3
9E,ATL,PHF,0.00,3
9E,ATL,PHF,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,PHF,ATL,0.00,3
9E,JFK,ORF,1.00,2
9E,ORF,JFK,1.00,2
9E,JFK,RIC,1.00,2
9E,RDU,DCA,1.00,1
9E,RDU,DCA,1.00,1
9E,RDU,DCA,1.00,1
9E,RDU,DCA,1.00,1
9E,RDU,DCA,1.00,1
9E,RDU,DCA,1.00,1
9E,RDU,DCA,1.00,1
9E,DCA,RDU,0.00,1
9E,CHO,ATL,0.00,2
9E,LGA,ORF,1.00,2
9E,RDU,DCA,0.00,1
9E,ORF,JFK,1.00,2
9E,IAD,JFK,1.00,1
9E,RDU,DCA,0.00,1
9E,DCA,RDU,0.00,1
9E,DCA,JFK,1.00,1
9E,JFK,DCA,1.00,1
9E,BOS,ORF,1.00,2
9E,DCA,RDU,1.00,1
9E,DCA,RDU,1.00,1
9E,DCA,RDU,1.00,1
9E,DCA,RDU,1.00,1
9E,DCA,RDU,1.00,1
9E,DCA,RDU,1.00,1
9E,DCA,RDU,1.00,1
9E,DCA,JFK,1.00,1
9E,JFK,DCA,1.00,1
9E,RIC,LGA,1.00,2
9E,RIC,LGA,1.00,2
9E,ROA,ATL,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,1.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,1.00,2
9E,ATL,CHO,1.00,2
9E,ATL,CHO,1.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,1.00,2
9E,ATL,CHO,1.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,0.00,2
9E,ATL,CHO,1.00,2
9E,ATL,CHO,1.00,2
9E,ATL,CHO,1.00,2
9E,ATL,CHO,1.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,1.00,2
9E,CHO,ATL,1.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,1.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,0.00,2
9E,CHO,ATL,1.00,2
9E,CHO,ATL,1.00,2
9E,CHO,ATL,1.00,2
9E,CHO,ATL,1.00,2
9E,ORF,JFK,1.00,2
9E,ORF,BOS,0.00,2
9E,DCA,JFK,1.00,1
9E,JFK,DCA,1.00,1
9E,CHO,ATL,0.00,2
9E,RIC,DTW,0.00,2
9E,DCA,RDU,1.00,1
9E,DCA,RDU,1.00,1
9E,DCA,RDU,1.00,1
9E,DCA,RDU,1.00,1
9E,DCA,RDU,1.00,1
9E,DCA,RDU,1.00,1
9E,DCA,RDU,1.00,1
9E,RDU,DCA,1.00,1
9E,RDU,DCA,1.00,1
9E,RDU,DCA,1.00,1
9E,RDU,DCA,1.00,1
9E,RDU,DCA,1.00,1
9E,RDU,DCA,1.00,1
9E,RDU,DCA,1.00,1
9E,MSP,RIC,1.00,4
9E,RIC,MSP,1.00,4
9E,ORF,MSP,0.00,5
9E,RIC,MSP,1.00,4
9E,CHO,ATL,0.00,2
9E,LGA,RIC,1.00,2
9E,RIC,LGA,1.00,2
9E,RIC,LGA,1.00,2
9E,RIC,LGA,1.00,2
9E,RIC,LGA,1.00,2
9E,RIC,LGA,1.00,2
9E,RIC,LGA,1.00,2
9E,RIC,LGA,1.00,2
9E,RIC,LGA,1.00,2
9E,RIC,LGA,1.00,2
9E,ATL,CHO,0.00,2
9E,CHO,ATL,0.00,2
AA,LAX,DCA,0.00,10
AA,LAX,DCA,0.00,10
AA,LAX,DCA,0.00,10
AA,LAX,DCA,0.00,10
AA,LAX,DCA,1.00,10
AA,DCA,MIA,0.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,1.00,4
AA,DCA,MIA,0.00,4
AA,DCA,MIA,0.00,4
AA,LAX,DCA,0.00,10
AA,LAX,DCA,0.00,10
AA,LAX,DCA,0.00,10
AA,LAX,DCA,1.00,10
AA,LAX,DCA,1.00,10
AA,LAX,DCA,1.00,10
AA,LAX,DCA,0.00,10
AA,LAX,DCA,0.00,10
AA,LAX,DCA,0.00,10
AA,LAX,DCA,0.00,10
AA,LAX,DCA,0.00,10
AA,LAX,DCA,0.00,10
AA,LAX,DCA,0.00,10
AA,ORD,DCA,1.00,3
AA,ORD,DCA,1.00,3
AA,CLT,DCA,1.00,2
AA,ORF,DFW,0.00,5
AA,ORF,DFW,1.00,5
AA,ORF,DFW,1.00,5
AA,ORF,DFW,1.00,5
AA,ORF,DFW,0.00,5
AA,ORF,DFW,0.00,5
AA,ORF,DFW,0.00,5
AA,ORF,DFW,0.00,5
AA,ORF,DFW,0.00,5
AA,DCA,CLT,0.00,2
AA,DCA,CLT,1.00,2
AA,DCA,CLT,0.00,2
AA,DCA,CLT,0.00,2
AA,CLT,ORF,0.00,2
AA,CLT,ORF,0.00,2
AA,CLT,ORF,0.00,2
AA,DCA,PHL,1.00,1
AA,DCA,PHL,1.00,1
AA,DCA,PHL,1.00,1
AA,DCA,PHL,1.00,1
AA,DCA,PHL,1.00,1
AA,DCA,PHL,1.00,1
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,0.00,5
AA,CLT,ORF,0.00,2
AA,CLT,ORF,1.00,2
AA,CLT,ORF,0.00,2
AA,CLT,ORF,0.00,2
AA,CLT,ORF,0.00,2
AA,CLT,ORF,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,1.00,2
AA,CLT,DCA,1.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,1.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,1.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,0.00,2
AA,CLT,DCA,1.00,2
AA,CLT,DCA,1.00,2
AA,ATL,DCA,1.00,3
AA,ATL,DCA,1.00,3
AA,ATL,DCA,1.00,3
AA,ATL,DCA,1.00,3
AA,DCA,LAX,0.00,10
AA,DCA,LAX,0.00,10
AA,DCA,LAX,0.00,10
AA,DCA,LAX,0.00,10
AA,DCA,LAX,0.00,10
AA,DCA,LAX,0.00,10
AA,DCA,LAX,0.00,10
AA,DCA,LAX,0.00,10
AA,DCA,LAX,1.00,10
AA,DCA,LAX,1.00,10
AA,DCA,LAX,0.00,10
AA,DCA,LAX,0.00,10
AA,DCA,LAX,0.00,10
AA,DCA,LAX,0.00,10
AA,DCA,LAX,0.00,10
AA,DCA,LAX,0.00,10
AA,MIA,RIC,0.00,4
AA,MIA,RIC,0.00,4
AA,MIA,RIC,0.00,4
AA,MIA,RIC,0.00,4
AA,MIA,RIC,1.00,4
AA,MIA,RIC,0.00,4
AA,MIA,RIC,0.00,4
AA,MIA,RIC,0.00,4
AA,MIA,RIC,0.00,4
AA,MIA,RIC,0.00,4
AA,MIA,RIC,0.00,4
AA,MIA,RIC,0.00,4
AA,DCA,DFW,1.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,1.00,5
AA,DCA,DFW,0.00,5
AA,DCA,DFW,1.00,5
AA,RIC,MIA,0.00,4
AA,RIC,MIA,1.00,4
AA,RIC,MIA,1.00,4
AA,RIC,MIA,0.00,4
AA,RIC,MIA,0.00,4
AA,RIC,MIA,0.00,4
AA,RIC,MIA,0.00,4
AA,RIC,MIA,0.00,4
AA,RIC,MIA,0.00,4
AA,RIC,MIA,0.00,4
AA,RIC,MIA,0.00,4
AA,RIC,MIA,0.00,4
AA,RIC,MIA,0.00,4
AA,RIC,MIA,0.00,4
AA,RIC,MIA,0.00,4
AA,RIC,MIA,0.00,4
AA,RIC,MIA,0.00,4
AA,RIC,MIA,0.00,4
AA,ATL,DCA,1.00,3
AA,DFW,DCA,0.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,1.00,5
AA,DFW,DCA,0.00,5
AA,DFW,DCA,1.00,5
