Date,Open,High,Low,Close,Volume
03/11/2021,"54.30","55.87","53.37","54.06","17,140,760"
03/10/2021,"53.40","54.37","52.85","53.92","13,438,930"
03/09/2021,"53.81","54.16","51.80","53.43","15,292,840"
03/08/2021,"51.35","54.33","51.34","54.06","17,588,971"
03/05/2021,"52.65","52.73","46.56","50.52","21,503,160"
03/04/2021,"54.64","54.85","49.95","52.05","19,937,490"
03/03/2021,"53.61","55.20","53.28","54.57","18,438,949"
03/02/2021,"53.66","54.05","52.75","53.21","12,370,990"
03/01/2021,"55.44","55.93","52.78","53.31","19,500,590"
02/26/2021,"51.51","53.41","51.20","52.68","18,330,189"
02/25/2021,"54.85","55.00","50.42","51.78","25,949,971"
02/24/2021,"51.11","55.87","50.87","54.96","27,482,080"
02/23/2021,"50.20","51.18","46.96","50.61","20,124,971"
02/22/2021,"49.26","51.82","48.35","49.70","27,547,900"
02/19/2021,"45.52","48.36","45.44","48.03","21,112,039"
02/18/2021,"45.20","45.44","44.30","44.96","10,250,400"
02/17/2021,"45.41","46.48","44.72","46.08","12,840,060"
02/16/2021,"45.07","45.81","44.56","45.71","13,954,880"
02/12/2021,"43.11","44.47","42.90","43.94","8,987,489"
02/11/2021,"43.64","43.84","42.99","43.44","8,478,124"
02/10/2021,"43.86","44.22","43.36","43.78","9,772,515"
02/09/2021,"44.06","44.09","42.82","43.32","11,967,160"
02/08/2021,"42.50","44.64","42.22","44.35","19,794,301"
02/05/2021,"42.88","42.94","41.94","42.14","10,764,270"
02/04/2021,"42.15","42.61","41.84","42.41","13,633,790"
02/03/2021,"41.02","42.20","40.52","42.04","15,174,840"
02/02/2021,"40.63","40.91","39.94","40.83","13,118,650"
02/01/2021,"40.35","40.41","39.18","39.94","13,143,420"
01/29/2021,"42.11","42.50","39.77","39.99","24,192,570"
01/28/2021,"42.83","44.20","41.62","42.55","22,174,961"
01/27/2021,"40.74","41.65","40.31","40.91","15,279,990"
01/26/2021,"40.80","41.39","40.56","41.25","13,388,600"
01/25/2021,"41.54","41.73","39.90","40.38","20,281,920"
01/22/2021,"41.95","42.29","41.61","42.14","13,544,970"
01/21/2021,"43.80","43.98","41.72","42.59","32,185,631"
01/20/2021,"45.04","45.65","44.41","45.18","11,661,300"
01/19/2021,"44.60","44.90","43.77","44.75","9,706,312"
01/15/2021,"45.85","45.98","43.88","43.89","13,211,540"
01/14/2021,"45.32","46.80","45.32","46.29","16,310,460"
01/13/2021,"44.17","44.64","43.44","44.43","11,390,180"
01/12/2021,"42.81","44.17","42.46","44.08","9,053,062"
01/11/2021,"42.67","43.26","42.25","42.70","8,988,803"
01/08/2021,"43.58","44.00","43.02","43.29","9,215,340"
01/07/2021,"43.80","44.84","43.61","43.62","9,592,931"
01/06/2021,"43.60","44.28","42.86","43.54","12,318,860"
01/05/2021,"41.58","43.60","41.50","43.40","12,294,450"
01/04/2021,"43.68","43.70","41.43","41.63","14,710,220"
12/31/2020,"44.41","44.56","43.11","43.25","12,683,980"
12/30/2020,"43.64","44.76","43.46","44.65","9,473,270"
12/29/2020,"44.45","44.65","43.55","43.74","9,927,674"
12/28/2020,"44.04","44.63","43.75","43.92","13,693,200"
12/24/2020,"44.40","44.42","43.01","43.26","7,230,607"
12/23/2020,"43.10","44.69","43.08","44.11","15,284,730"
12/22/2020,"44.65","44.79","42.43","42.97","16,602,730"
12/21/2020,"43.35","44.42","42.63","44.06","21,879,090"
12/18/2020,"45.75","45.95","44.56","44.74","16,333,230"
12/17/2020,"46.30","46.40","45.46","45.88","13,785,020"
12/16/2020,"46.50","46.91","45.55","46.00","17,369,551"
12/15/2020,"47.20","47.56","45.80","47.46","16,836,301"
12/14/2020,"49.60","49.65","46.70","46.72","15,745,000"
12/11/2020,"49.15","49.89","47.64","48.36","14,770,640"
12/10/2020,"46.74","49.71","46.60","49.64","19,020,500"
12/09/2020,"49.84","50.09","46.73","48.02","23,325,080"
12/08/2020,"49.02","50.40","48.72","49.04","17,797,910"
12/07/2020,"49.28","50.35","48.71","49.20","22,364,650"
12/04/2020,"50.49","51.31","48.77","49.24","26,300,631"
12/03/2020,"47.67","50.97","47.66","49.91","32,545,230"
12/02/2020,"45.10","46.73","44.52","46.73","17,745,670"
12/01/2020,"45.83","46.57","45.23","45.32","18,860,211"
11/30/2020,"46.47","46.50","44.20","45.05","23,401,471"
11/27/2020,"46.20","46.76","45.14","45.30","14,103,890"
11/25/2020,"44.49","45.91","43.65","45.64","24,250,770"
11/24/2020,"42.71","45.00","42.45","44.96","29,934,570"
11/23/2020,"40.18","41.18","40.05","40.93","21,730,000"
11/20/2020,"40.71","40.97","39.67","39.90","15,604,680"
11/19/2020,"41.00","41.44","40.19","40.94","18,556,311"
11/18/2020,"41.49","42.89","41.05","41.05","22,481,990"
11/17/2020,"40.00","41.10","39.58","40.60","19,661,439"
11/16/2020,"42.18","42.78","40.05","41.00","28,722,699"
11/13/2020,"37.24","39.10","37.08","38.99","20,034,689"
11/12/2020,"37.45","38.71","36.56","36.85","23,543,721"
11/11/2020,"40.07","40.16","38.19","38.51","20,044,090"
11/10/2020,"40.45","41.63","39.48","40.05","26,596,641"
11/09/2020,"41.90","44.06","39.13","41.32","60,942,633"
11/06/2020,"34.90","35.15","34.20","34.68","13,194,120"
11/05/2020,"33.70","35.46","33.57","35.35","16,192,110"
11/04/2020,"34.00","34.25","32.96","33.34","14,812,280"
11/03/2020,"34.32","34.68","33.76","34.02","16,309,030"
11/02/2020,"34.08","34.10","32.95","33.78","13,901,030"
10/30/2020,"33.15","34.02","32.83","33.86","18,795,301"
10/29/2020,"32.63","33.75","32.43","33.57","17,257,400"
10/28/2020,"33.11","33.66","32.16","32.60","21,822,930"
10/27/2020,"35.11","35.65","34.15","34.17","17,594,211"
10/26/2020,"37.37","37.40","34.67","35.34","25,924,490"
10/23/2020,"37.10","38.10","36.52","38.01","20,690,270"
10/22/2020,"35.90","37.45","35.65","37.24","24,747,750"
10/21/2020,"35.91","36.14","35.21","35.54","16,092,670"
10/20/2020,"36.16","36.59","35.20","36.06","22,578,070"
10/19/2020,"34.45","36.55","34.44","35.50","33,094,430"
10/16/2020,"34.31","34.58","33.82","34.16","16,210,040"
10/15/2020,"35.18","35.38","33.64","34.25","23,651,961"
10/14/2020,"35.26","36.33","35.17","35.61","15,064,440"
10/13/2020,"35.67","35.95","35.22","35.26","17,302,990"
10/12/2020,"36.70","36.99","36.26","36.38","20,202,570"
10/09/2020,"37.05","37.80","36.27","37.12","25,311,770"
10/08/2020,"37.16","37.69","35.85","37.00","28,333,471"
10/07/2020,"36.51","37.22","35.88","36.38","27,677,311"
10/06/2020,"36.73","37.09","34.84","34.88","28,719,029"
10/05/2020,"36.43","36.58","35.42","36.20","18,046,420"
10/02/2020,"33.36","36.77","33.27","36.01","35,080,992"
10/01/2020,"35.23","35.49","34.57","35.18","18,972,221"
09/30/2020,"34.95","36.22","34.54","34.75","29,441,350"
09/29/2020,"35.55","35.61","34.24","34.51","25,029,770"
09/28/2020,"35.32","36.90","34.66","35.94","34,828,070"
09/25/2020,"32.56","34.27","32.49","34.20","21,461,109"
09/24/2020,"32.79","33.40","31.22","32.74","24,638,811"
09/23/2020,"34.28","35.05","33.05","33.08","21,576,930"
09/22/2020,"34.15","34.65","33.56","34.07","16,700,551"
09/21/2020,"35.40","35.47","33.18","33.79","29,900,930"
09/18/2020,"38.16","38.34","36.68","36.97","32,772,789"
09/17/2020,"37.69","39.28","37.14","38.36","31,339,680"
09/16/2020,"36.90","38.90","36.36","38.30","33,301,840"
09/15/2020,"36.84","37.88","36.38","36.80","21,378,240"
09/14/2020,"36.30","36.88","35.84","36.74","18,939,881"
09/11/2020,"36.63","36.80","35.48","36.07","19,198,711"
