OP_UNIQUE_CARRIER,ORIGIN,DEST,CANCELLED,DISTANCE_GROUP
9E,GSP,LGA,1.00,3
9E,GSP,LGA,1.00,3
9E,GSP,LGA,1.00,3
9E,GSP,LGA,1.00,3
9E,GSP,LGA,1.00,3
9E,GSP,LGA,1.00,3
9E,GSP,LGA,1.00,3
9E,GSP,LGA,1.00,3
9E,LGA,GSP,1.00,3
9E,LGA,GSP,1.00,3
9E,LGA,GSP,1.00,3
9E,LGA,GSP,1.00,3
9E,LGA,GSP,1.00,3
9E,LGA,GSP,1.00,3
9E,LGA,GSP,1.00,3
9E,LGA,GSP,1.00,3
9E,JFK,PWM,1.00,2
9E,JFK,PWM,1.00,2
9E,JFK,PWM,1.00,2
9E,JFK,PWM,1.00,2
9E,JFK,PWM,1.00,2
9E,JFK,PWM,1.00,2
9E,JFK,PWM,1.00,2
9E,JFK,BOS,1.00,1
9E,DFW,JFK,1.00,6
9E,JFK,DFW,1.00,6
9E,ATL,HPN,1.00,4
9E,ATL,HPN,1.00,4
9E,ATL,HPN,0.00,4
9E,ATL,HPN,0.00,4
9E,ATL,HPN,0.00,4
9E,ATL,HPN,0.00,4
9E,ATL,HPN,0.00,4
9E,ATL,HPN,0.00,4
9E,ATL,HPN,0.00,4
9E,ATL,HPN,0.00,4
9E,ATL,HPN,0.00,4
9E,ATL,HPN,0.00,4
9E,ATL,HPN,0.00,4
9E,ATL,HPN,1.00,4
9E,ATL,HPN,1.00,4
9E,ATL,HPN,1.00,4
9E,ATL,HPN,1.00,4
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,DTW,BUF,0.00,1
9E,LGA,RDU,1.00,2
9E,LGA,RDU,1.00,2
9E,LGA,RDU,1.00,2
9E,LGA,RDU,1.00,2
9E,LGA,RDU,1.00,2
9E,LGA,RDU,1.00,2
9E,LGA,RDU,1.00,2
9E,LGA,RDU,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,1.00,2
9E,JFK,BUF,1.00,2
9E,JFK,BUF,1.00,2
9E,JFK,BUF,1.00,2
9E,JFK,BUF,1.00,2
9E,JFK,BUF,1.00,2
9E,JFK,BUF,1.00,2
9E,JFK,BUF,1.00,2
9E,JFK,BUF,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,0.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,1.00,2
9E,BUF,JFK,0.00,2
