Week,2019,2020,2021,2022,2022 (scheduled capacity),,
2,"41,683,728","42,864,294","12,317,230","25,322,272",,,Source: OAG
3,"40,888,634","41,715,044","10,546,881","21,256,930",,,
4,"40,869,797","41,681,211","9,941,526","20,230,498",,,
5,"41,167,551","41,723,566","9,574,917","19,841,680",,,
6,"41,397,509","40,663,777","9,652,954","20,773,155",,,
7,"41,855,402","39,088,750","9,369,329","21,780,728",,,
8,"42,033,332","38,585,455","9,501,906","22,696,030",,,
9,"42,157,460","38,274,028","9,413,448","23,202,610",,,
10,"42,205,574","37,605,172","9,829,912","24,261,278",,,
11,"42,245,298","35,558,487","9,603,004","24,358,877",,,
12,"42,196,118","31,365,082","9,783,890","24,479,804",,,
13,"42,229,991","16,517,070","10,322,760","24,838,167",,,
14,"44,463,743","8,680,006","11,454,475","28,116,647",,,
15,"45,009,647","5,991,365","11,450,765","29,010,534",,,
16,"45,128,573","4,932,791","11,006,575","29,484,217",,,
17,"45,568,507","4,076,741","10,706,202","29,844,774",,,
18,"45,801,030","5,090,493","11,054,987","30,188,173",,,
19,"45,321,024","5,538,856","11,364,510","31,382,286",,,
20,"45,261,464","5,738,060","11,621,305","31,278,581",,,
21,"45,710,899","6,245,387","12,407,895","31,497,533",,,
22,"46,585,850","7,392,322","12,618,549","32,214,430",,,
23,"48,118,261","5,647,251","14,561,223","33,463,456",,,
24,"48,727,091","6,021,607","14,834,816","34,007,496",,,
25,"48,862,270","6,984,350","16,295,963","34,467,118",,,
26,"49,479,741","7,347,237","17,076,321","35,216,426",,,
27,"50,008,452","10,298,988","19,611,057","36,199,709",,,
28,"50,193,590","10,432,246","20,877,338","36,827,336",,,
29,"50,372,565","12,040,774","21,629,398","36,816,915",,,
30,"50,598,053","12,290,936","22,780,632","36,823,423",,,
31,"50,829,178","13,486,650","23,007,130","37,108,422",,,
32,"50,657,959","14,859,631","23,663,274","37,347,122",,,
33,"50,592,950","14,975,462","23,918,872","37,370,667",,,
34,"50,481,395","14,855,798","24,012,122","37,323,739",,,
35,"50,176,591","14,776,783","24,067,737","37,341,177",,,
36,"49,190,692","14,048,869","24,263,414","37,247,003",,,
37,"48,611,867","13,791,700","23,736,946","36,586,415",,,
38,"47,964,042","13,331,856","23,312,980","35,881,035",,,
39,"47,601,135","12,824,223","23,357,416","35,549,891",,,
40,"46,768,910","12,931,470","23,402,905","35,271,929",,,
41,"46,220,966","12,569,303","23,163,751","34,836,562",,,
42,"46,002,983","12,218,719","23,242,094","34,858,493",,,
43,"45,294,636","11,698,578","22,694,017",,"34,130,692",,
44,"42,762,714","11,315,874","23,204,784",,"34,456,960",,
45,"41,629,928","10,778,451","22,663,911",,"33,001,829",,
46,"41,059,374","9,707,623","22,084,761",,"32,377,010",,
47,"40,989,070","9,106,061","21,946,670",,"32,248,476",,
48,"40,747,167","9,031,143","21,903,097",,"32,183,816",,
49,"41,310,865","9,429,678","22,594,223",,"32,716,162",,
50,"41,878,304","9,917,145","23,155,379",,"33,449,742",,
51,"44,111,509","12,200,668","24,903,171",,"34,342,877",,
52,"42,803,241","12,294,255","25,306,122",,"34,048,809",,
53,"44,091,854","12,240,796","26,411,957",,"34,628,631",,
