OP_UNIQUE_CARRIER,ORIGIN,DEST,CANCELLED,DISTANCE_GROUP
9E,EWR,CVG,1.00,3
9E,EWR,CVG,1.00,3
9E,CVG,EWR,1.00,3
9E,EWR,CVG,1.00,3
9E,EWR,CVG,1.00,3
9E,CVG,EWR,1.00,3
9E,EWR,CVG,1.00,3
9E,CVG,EWR,1.00,3
9E,EWR,CVG,1.00,3
9E,CVG,EWR,1.00,3
9E,EWR,MSP,1.00,5
9E,MSP,EWR,1.00,5
9E,CVG,EWR,1.00,3
9E,CVG,EWR,1.00,3
AA,EWR,MIA,1.00,5
AA,DFW,EWR,0.00,6
AA,DFW,EWR,0.00,6
AA,DFW,EWR,0.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,EWR,DFW,1.00,6
AA,EWR,DFW,1.00,6
AA,EWR,DFW,0.00,6
AA,EWR,DFW,1.00,6
AA,EWR,DFW,1.00,6
AA,EWR,DFW,1.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,0.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,0.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,EWR,ORD,1.00,3
AA,EWR,CLT,0.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,0.00,3
AA,EWR,CLT,0.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,1.00,3
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,0.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,DFW,EWR,1.00,6
AA,MIA,EWR,0.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,0.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,EWR,MIA,0.00,5
AA,EWR,MIA,0.00,5
AA,EWR,MIA,1.00,5
AA,EWR,MIA,1.00,5
AA,EWR,MIA,0.00,5
AA,EWR,MIA,0.00,5
AA,CLT,EWR,1.00,3
AA,CLT,EWR,1.00,3
AA,CLT,EWR,0.00,3
AA,CLT,EWR,1.00,3
AA,CLT,EWR,1.00,3
AA,CLT,EWR,1.00,3
AA,CLT,EWR,1.00,3
AA,CLT,EWR,1.00,3
AA,CLT,EWR,0.00,3
AA,CLT,EWR,0.00,3
AA,CLT,EWR,0.00,3
AA,CLT,EWR,0.00,3
AA,CLT,EWR,0.00,3
AA,CLT,EWR,0.00,3
AA,CLT,EWR,1.00,3
AA,CLT,EWR,1.00,3
AA,CLT,EWR,1.00,3
AA,EWR,CLT,0.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,0.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,0.00,3
AA,EWR,CLT,0.00,3
AA,EWR,CLT,0.00,3
AA,EWR,CLT,0.00,3
AA,EWR,CLT,0.00,3
AA,EWR,CLT,0.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,1.00,3
AA,EWR,CLT,1.00,3
AA,CLT,EWR,0.00,3
AA,CLT,EWR,0.00,3
AA,CLT,EWR,0.00,3
AA,CLT,EWR,0.00,3
AA,CLT,EWR,1.00,3
AA,CLT,EWR,1.00,3
AA,CLT,EWR,1.00,3
AA,CLT,EWR,1.00,3
AA,CLT,EWR,1.00,3
AA,CLT,EWR,1.00,3
AA,CLT,EWR,1.00,3
AA,EWR,DFW,1.00,6
AA,EWR,DFW,0.00,6
AA,EWR,DFW,0.00,6
AA,EWR,DFW,1.00,6
AA,EWR,DFW,0.00,6
AA,EWR,DFW,1.00,6
AA,EWR,DFW,1.00,6
AA,EWR,DFW,1.00,6
AA,EWR,DFW,1.00,6
AA,EWR,DFW,1.00,6
AA,EWR,DFW,1.00,6
AA,EWR,ORD,1.00,3
AA,EWR,ORD,1.00,3
AA,EWR,ORD,0.00,3
AA,EWR,ORD,1.00,3
AA,EWR,ORD,0.00,3
AA,EWR,ORD,1.00,3
AA,EWR,ORD,1.00,3
AA,EWR,ORD,1.00,3
AA,EWR,ORD,1.00,3
AA,EWR,ORD,1.00,3
AA,EWR,ORD,1.00,3
AA,EWR,ORD,1.00,3
AA,EWR,ORD,1.00,3
AA,EWR,ORD,1.00,3
AA,MIA,EWR,0.00,5
AA,MIA,EWR,0.00,5
AA,MIA,EWR,0.00,5
AA,MIA,EWR,0.00,5
AA,MIA,EWR,0.00,5
AA,MIA,EWR,1.00,5
AA,EWR,MIA,0.00,5
AA,EWR,MIA,1.00,5
AA,EWR,MIA,0.00,5
AA,EWR,MIA,0.00,5
AA,EWR,MIA,0.00,5
AA,EWR,MIA,0.00,5
AA,EWR,MIA,1.00,5
AA,EWR,MIA,1.00,5
AA,EWR,MIA,1.00,5
AA,EWR,MIA,1.00,5
AA,EWR,MIA,1.00,5
AA,EWR,MIA,1.00,5
AA,EWR,MIA,1.00,5
AA,EWR,MIA,1.00,5
AA,MIA,EWR,0.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,0.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,0.00,5
AA,MIA,EWR,0.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
AA,EWR,MIA,1.00,5
AA,MIA,EWR,1.00,5
AA,EWR,MIA,1.00,5
AA,EWR,MIA,1.00,5
AA,MIA,EWR,1.00,5
AA,MIA,EWR,1.00,5
